"task","field_name","detected_type","appears_in_tables","table_count","non_null_rows","total_rows","coverage_pct","sample_values","description"
"gabor","accuracy","logical","all_trials | gabor_trials",2,120,760,15.79,"TRUE | FALSE","Correctness/accuracy value for the row."
"gabor","completed_at","character","all_trials | gabor_trials",2,246,760,32.37,"2026-04-15T05:47:46.776569Z | 2026-04-20T18:59:56.568248Z | 2026-04-15T13:42:06.673154Z","Run completion timestamp from wrapper."
"gabor","config_id","character","all_trials | gabor_trials",2,510,760,67.11,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Config identifier associated with the trial/run."
"gabor","correct_side","mostly-empty","all_trials | gabor_trials",2,0,760,0,,"Correct side/category label for side-based scoring."
"gabor","created_at","character","all_trials | gabor_trials",2,506,760,66.58,"2026-05-25T16:54:00.824Z | 2026-05-05T20:39:51.722Z | 2026-04-15T05:47:46.570Z","Result payload creation timestamp."
"gabor","end_reason","character","all_trials | gabor_trials",2,189,760,24.87,"timeout | end_key | response","End reason from trial-level row."
"gabor","experiment_type","character","all_trials | gabor_trials",2,291,760,38.29,"continuous | trial-based","Experiment mode label (for example trial-based or continuous)."
"gabor","file_path","character","all_trials | gabor_trials",2,760,760,100,"/home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185358.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185529.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185613.json","Absolute source file path used in ingestion."
"gabor","participant_key_preview","character","all_trials | gabor_trials",2,246,760,32.37,"29a0342f72ad... | f19f708e9ad2... | 982eb1487d4f...","Participant key preview from portal wrapper."
"gabor","plugin_type","character","all_trials | gabor_trials",2,760,760,100,"soc-dashboard | html-keyboard-response | gabor-trial","Plugin identifier recorded for the trial."
"gabor","plugin_version","character","all_trials | gabor_trials",2,510,760,67.11,"0.6.7 | 2.1.0 | 1.0.0","Plugin version string when provided."
"gabor","response","character","all_trials | gabor_trials",2,22,760,2.89,"Enter | {""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null}","Raw response field from trial row."
"gabor","response_angle_deg","mostly-empty","all_trials | gabor_trials",2,0,760,0,,"Participant response direction in degrees."
"gabor","response_key","character","all_trials | gabor_trials",2,120,760,15.79,"j | f","Raw response key/button identifier."
"gabor","response_segment_index","mostly-empty","all_trials | gabor_trials",2,0,760,0,,"Selected segment index in segmented response modes."
