"task","field_name","detected_type","appears_in_tables","table_count","non_null_rows","total_rows","coverage_pct","sample_values","description"
"sart","accuracy","logical","all_trials | sart_trials",2,60,600,10,"TRUE | FALSE","Correctness/accuracy value for the row."
"sart","completed_at","character","all_trials | sart_trials",2,130,600,21.67,"2026-04-15T05:47:46.776569Z | 2026-04-20T18:59:56.568248Z | 2026-04-15T13:42:06.673154Z","Run completion timestamp from wrapper."
"sart","config_id","character","all_trials | sart_trials",2,350,600,58.33,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Config identifier associated with the trial/run."
"sart","correct_side","mostly-empty","all_trials | sart_trials",2,0,600,0,,"Correct side/category label for side-based scoring."
"sart","created_at","character","all_trials | sart_trials",2,462,600,77,"2026-05-25T16:54:00.824Z | 2026-05-05T20:39:51.722Z | 2026-04-15T05:47:46.570Z","Result payload creation timestamp."
"sart","end_reason","character","all_trials | sart_trials",2,145,600,24.17,"timeout | end_key | response","End reason from trial-level row."
"sart","experiment_type","character","all_trials | sart_trials",2,291,600,48.5,"continuous | trial-based","Experiment mode label (for example trial-based or continuous)."
"sart","file_path","character","all_trials | sart_trials",2,600,600,100,"/home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185358.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185529.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185613.json","Absolute source file path used in ingestion."
"sart","participant_key_preview","character","all_trials | sart_trials",2,130,600,21.67,"29a0342f72ad... | f19f708e9ad2... | 982eb1487d4f...","Participant key preview from portal wrapper."
"sart","plugin_type","character","all_trials | sart_trials",2,600,600,100,"soc-dashboard | html-keyboard-response | gabor-trial","Plugin identifier recorded for the trial."
"sart","plugin_version","character","all_trials | sart_trials",2,350,600,58.33,"0.6.7 | 2.1.0 | 1.0.0","Plugin version string when provided."
"sart","response","character","all_trials | sart_trials",2,25,600,4.17,"Enter | {""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null}","Raw response field from trial row."
"sart","response_angle_deg","mostly-empty","all_trials | sart_trials",2,0,600,0,,"Participant response direction in degrees."
"sart","response_key","character","all_trials | sart_trials",2,60,600,10,"j | f","Raw response key/button identifier."
"sart","response_segment_index","mostly-empty","all_trials | sart_trials",2,0,600,0,,"Selected segment index in segmented response modes."
"sart","response_side","mostly-empty","all_trials | sart_trials",2,0,600,0,,"Participant chosen side/category label."
"sart","rt_ms","numeric","all_trials | sart_trials",2,161,600,26.83,"568 | 8385 | 2560","Response time in milliseconds for this trial/event."
"sart","run_session_id","character","all_trials | sart_trials",2,592,600,98.67,"07eb0fb3-9d05-4b6c-8703-4d59d9567281 | 1c4ff8cf-202b-42c8-912e-2d064adbeba8 | 2ad53a4d-f9e9-41f6-bb07-0cc2a71d28e9","Run session UUID from portal wrapper when present."
"sart","run_status","character","all_trials | sart_trials",2,592,600,98.67,"completed","Run completion status from portal wrapper."
"sart","source_format","character","all_trials | sart_trials",2,600,600,100,"jspsych-array | cogflow-run-json-wrapper | cogflow-run-csv","Detected source envelope format (wrapper/json/csv/jsPsych array)."
"sart","started_at","character","all_trials | sart_trials",2,130,600,21.67,"2026-04-15T05:47:37.970943Z | 2026-04-20T18:53:41.254577Z | 2026-04-15T13:40:34.783294Z","Run start timestamp from wrapper."
"sart","stimulus","character","all_trials | sart_trials",2,51,600,8.5,"<div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p>This experi | <div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p>This experi | <div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p style='text","Stimulus content captured in trial row."
"sart","study_slug","character","all_trials | sart_trials",2,462,600,77,"soc-sart-test-2 | soc-test-1 | rdm-test-0001","Study slug/code from portal wrapper when present."
"sart","survey_responses_json","json-string","all_trials | sart_trials",2,17,600,2.83,"{""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null} | {""q1"":""2 - Task-related interference"",""q2"":null}","Survey responses encoded as JSON string."
"sart","task_type","character","all_trials | sart_trials",2,600,600,100,"soc-dashboard | rdm | gabor","Task type label attached to trial (or envelope fallback)."
"sart","time_elapsed","integer","all_trials | sart_trials",2,350,600,58.33,"12002 | 12804 | 12803","Elapsed time since task/run start at this row."
"sart","trial__block_index","integer","all_trials | sart_trials",2,60,600,10,"0 | 1 | 2","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial__block_source_index","mostly-empty","all_trials | sart_trials",2,0,600,0,,"Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial__generated_from_block","logical","all_trials | sart_trials",2,60,600,10,"TRUE","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_accuracy","logical","all_trials | sart_trials",2,60,600,10,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_active_app","character","all_trials | sart_trials",2,15,600,2.5,"tasks","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_adaptive_mode","character","all_trials | sart_trials",2,60,600,10,"quest","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_adaptive_parameter","character","all_trials | sart_trials",2,60,600,10,"contrast","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_adaptive_value","numeric","all_trials | sart_trials",2,60,600,10,"0.438424067747088 | 0.432666674985725 | 0.42699709566055","Flattened scalar copied from raw trial payload (trial.*)."
"sart","trial_clicks","json-string","all_trials | sart_trials",2,3,600,0.5,"[{""x"":460,""y"":139.75,""t_ms"":901.3999999910593,""object_hit"":true,""object_idx"":4},{""x"":544,""y"":155.75,""t_ms"":1297.59999999 | [{""x"":599,""y"":463.75,""t_ms"":797.3999999910593,""object_hit"":true,""object_idx"":1},{""x"":616,""y"":422.75,""t_ms"":1073.39999999 | [{""x"":184,""y"":23.75,""t_ms"":846.2999999970198,""object_hit"":false,""object_idx"":-1},{""x"":205,""y"":55.75,""t_ms"":1259,""object_","Flattened scalar copied from raw trial payload (trial.*)."
