"task","field_name","detected_type","appears_in_tables","table_count","non_null_rows","total_rows","coverage_pct","sample_values","description"
"rdm","accuracy","logical","all_trials | continuous_events | continuous_frame_summary",3,960,1515,63.37,"TRUE | FALSE","Correctness/accuracy value for the row."
"rdm","completed_at","character","all_trials | continuous_events | continuous_frame_summary",3,130,1515,8.58,"2026-04-15T05:47:46.776569Z | 2026-04-20T18:59:56.568248Z | 2026-04-15T13:42:06.673154Z","Run completion timestamp from wrapper."
"rdm","config_id","character","all_trials | continuous_events | continuous_frame_summary",3,1265,1515,83.5,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Config identifier associated with the trial/run."
"rdm","correct_side","character","all_trials | continuous_events | continuous_frame_summary",3,934,1515,61.65,"right | left","Correct side/category label for side-based scoring."
"rdm","created_at","character","all_trials | continuous_events | continuous_frame_summary",3,1377,1515,90.89,"2026-05-25T16:54:00.824Z | 2026-05-05T20:39:51.722Z | 2026-04-15T05:47:46.570Z","Result payload creation timestamp."
"rdm","end_reason","character","all_trials",1,129,581,22.2,"timeout | end_key | response","End reason from trial-level row."
"rdm","event","character","continuous_events | continuous_frame_summary",2,934,934,100,"response | frame_end","Continuous event type (for example response or frame_end)."
"rdm","event_end_reason","character","continuous_events | continuous_frame_summary",2,634,934,67.88,"deadline","Event-level end reason recorded in continuous events."
"rdm","experiment_type","character","all_trials | continuous_events | continuous_frame_summary",3,1225,1515,80.86,"continuous | trial-based","Experiment mode label (for example trial-based or continuous)."
"rdm","file_path","character","all_trials | continuous_events | continuous_frame_summary",3,1515,1515,100,"/home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185358.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185529.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185613.json","Absolute source file path used in ingestion."
"rdm","frame_index","integer","continuous_events | continuous_frame_summary",2,934,934,100,"0 | 1 | 2","Continuous frame index inside segment."
"rdm","frames_count","integer","continuous_events | continuous_frame_summary",2,934,934,100,"3 | 20 | 19","Number of continuous frames in the segment."
"rdm","participant_key_preview","character","all_trials | continuous_events | continuous_frame_summary",3,130,1515,8.58,"29a0342f72ad... | f19f708e9ad2... | 982eb1487d4f...","Participant key preview from portal wrapper."
"rdm","plugin_type","character","all_trials",1,581,581,100,"soc-dashboard | html-keyboard-response | gabor-trial","Plugin identifier recorded for the trial."
"rdm","plugin_version","character","all_trials",1,331,581,56.97,"0.6.7 | 2.1.0 | 1.0.0","Plugin version string when provided."
"rdm","rdm__block_index","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"0 | 1 | 2","Flattened scalar from continuous event rdm object."
"rdm","rdm__generated_from_block","logical","continuous_events | continuous_frame_summary",2,634,934,67.88,"TRUE","Flattened scalar from continuous event rdm object."
"rdm","rdm_aperture_outline_color","character","continuous_events | continuous_frame_summary",2,634,934,67.88,"#ffffff","Flattened scalar from continuous event rdm object."
"rdm","rdm_aperture_outline_width","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"2","Flattened scalar from continuous event rdm object."
"rdm","rdm_aperture_shape","character","continuous_events | continuous_frame_summary",2,634,934,67.88,"circle","Flattened scalar from continuous event rdm object."
"rdm","rdm_aperture_size","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"350","Flattened scalar from continuous event rdm object."
"rdm","rdm_background_color","character","continuous_events | continuous_frame_summary",2,634,934,67.88,"#404040","Flattened scalar from continuous event rdm object."
"rdm","rdm_canvas_height","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"600","Flattened scalar from continuous event rdm object."
"rdm","rdm_canvas_width","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"600","Flattened scalar from continuous event rdm object."
"rdm","rdm_center_x","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"300","Flattened scalar from continuous event rdm object."
"rdm","rdm_center_y","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"300","Flattened scalar from continuous event rdm object."
"rdm","rdm_coherence","numeric","continuous_events | continuous_frame_summary",2,634,934,67.88,"0.537638219297894 | 0.749615210605915 | 0.689045074604357","Flattened scalar from continuous event rdm object."
"rdm","rdm_diameter","integer","continuous_events | continuous_frame_summary",2,634,934,67.88,"350","Flattened scalar from continuous event rdm object."
